Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Moisture Percentage,Altitude Clean,Category One Defects,Category Two Defects,Country Grouped,Processing Simple,Overall
7.83,7.92,7.83,7.58,7.58,7.67,10.8,150.0,0,2,Taiwan,Natural,7.67
7.92,7.75,7.67,7.75,7.75,8.0,10.6,800.0,0,0,Taiwan,Natural,7.92
7.67,7.83,7.67,7.83,7.75,7.67,11.0,1550.0,0,2,Guatemala,Washed,7.67
7.67,7.92,7.67,7.75,7.67,7.58,11.0,1550.0,0,2,Guatemala,Washed,7.75
7.75,7.75,7.75,7.67,7.75,7.67,9.4,1800.0,0,0,Honduras,Natural,7.67
7.58,7.67,7.75,7.75,7.75,7.75,9.8,1675.0,0,3,"Tanzania, United Republic Of",Washed,7.75
8.0,7.75,7.5,7.67,7.67,7.67,11.3,1800.0,1,1,Ethiopia,Washed,7.75
7.75,7.58,7.58,7.92,7.67,7.75,11.6,1550.0,0,2,"Tanzania, United Republic Of",Washed,7.75
7.67,7.83,7.58,7.92,7.67,7.67,13.3,1550.0,0,3,Colombia,Washed,7.67
7.67,7.92,7.58,7.75,7.67,7.58,9.5,1850.0,0,2,Costa Rica,Washed,7.75
7.83,7.83,7.58,7.67,7.67,7.58,11.9,1900.0,0,0,Guatemala,Natural,7.75
7.58,7.83,7.58,7.75,7.67,7.75,10.0,1600.0,0,2,Guatemala,Washed,7.75
7.75,7.67,7.58,7.75,7.75,7.67,11.6,1350.0,0,3,Thailand,Natural,7.75
7.67,7.75,7.67,7.75,7.67,7.67,11.9,1411.0,0,1,Colombia,Washed,7.67
7.58,7.83,7.67,7.67,7.67,7.67,10.8,1400.0,0,4,Guatemala,Natural,7.75
7.58,7.92,7.5,7.67,7.75,7.67,10.9,1300.0,0,4,Guatemala,Washed,7.75
7.83,7.67,7.5,7.92,7.5,7.67,12.0,2000.0,0,12,Ethiopia,Washed,7.75
7.92,7.75,7.42,7.58,7.92,7.67,12.1,1700.0,2,5,Colombia,Washed,7.58
7.67,7.92,7.58,7.58,7.58,7.75,11.8,500.0,0,3,United States (Hawaii),Washed,7.75
7.67,7.92,7.67,7.58,7.67,7.67,10.6,1800.0,0,1,Colombia,Natural,7.58
7.67,7.67,7.58,7.67,7.83,7.58,11.7,1200.0,4,12,Other,Washed,7.75
7.83,7.75,7.5,7.58,7.67,7.67,12.4,1300.0,1,9,Colombia,Other,7.67
7.67,7.67,7.75,7.75,7.5,7.67,10.0,1250.0,0,0,Taiwan,Washed,7.67
7.83,7.83,7.67,7.58,7.58,7.58,10.2,1400.0,0,1,Other,Natural,7.58
7.58,7.75,7.67,7.83,7.5,7.67,9.2,300.0,0,0,Taiwan,Natural,7.67
7.67,7.67,7.58,7.75,7.67,7.67,11.1,1470.0,0,1,Honduras,Natural,7.67
7.58,7.67,7.5,7.75,7.75,7.67,8.4,325.0,0,0,Taiwan,Natural,7.67
7.58,7.75,7.58,7.75,7.58,7.67,9.1,275.0,0,0,Taiwan,Natural,7.67
7.58,7.83,7.58,7.67,7.58,7.58,10.9,1600.0,0,4,Guatemala,Washed,7.75
7.75,7.67,7.58,7.58,7.58,7.67,11.2,1400.0,0,5,Honduras,Washed,7.67
7.75,7.75,7.5,7.58,7.83,7.5,12.2,1700.0,0,2,Colombia,Washed,7.58
7.42,7.83,7.58,7.67,7.67,7.75,13.1,1390.0,0,0,Thailand,Washed,7.58
7.42,7.42,7.42,8.0,7.92,7.67,10.4,1700.0,0,11,Ethiopia,Washed,7.67
7.67,7.67,7.5,7.67,7.58,7.67,11.6,1450.0,0,0,Thailand,Washed,7.67
7.75,7.75,7.5,7.5,7.58,7.58,10.1,1650.0,0,3,Other,Washed,7.75
7.75,7.92,7.67,7.92,7.75,7.83,10.1,1100.0,0,0,Taiwan,Washed,7.92
7.75,7.67,7.58,7.5,7.67,7.5,11.1,1905.0,0,5,Other,Washed,7.67
