Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Overall,Country,Processing Method,Processing Simple,Category One Defects,Category Two Defects,Cluster,Cluster Name
7.67,7.92,7.58,7.75,7.67,7.58,7.75,Costa Rica,Washed / Wet,Washed,0,2,2,Standard
7.83,7.83,7.58,7.67,7.67,7.58,7.75,Guatemala,Natural / Dry,Natural,0,0,2,Standard
7.58,7.83,7.58,7.75,7.67,7.75,7.75,Guatemala,Washed / Wet,Washed,0,2,2,Standard
7.75,7.67,7.58,7.75,7.75,7.67,7.75,Thailand,Natural / Dry,Natural,0,3,2,Standard
7.67,7.75,7.67,7.75,7.67,7.67,7.67,Colombia,Washed / Wet,Washed,0,1,2,Standard
7.58,7.83,7.67,7.67,7.67,7.67,7.75,Guatemala,Natural / Dry,Natural,0,4,2,Standard
7.58,7.92,7.5,7.67,7.75,7.67,7.75,Guatemala,Washed / Wet,Washed,0,4,2,Standard
7.83,7.67,7.5,7.92,7.5,7.67,7.75,Ethiopia,Washed / Wet,Washed,0,12,2,Standard
7.92,7.75,7.42,7.58,7.92,7.67,7.58,Colombia,Washed / Wet,Washed,2,5,2,Standard
7.67,7.92,7.58,7.58,7.58,7.75,7.75,United States (Hawaii),Washed / Wet,Washed,0,3,2,Standard
7.67,7.92,7.67,7.58,7.67,7.67,7.58,Colombia,Pulped natural / honey,Honey,0,1,2,Standard
7.67,7.67,7.58,7.67,7.83,7.58,7.75,Mexico,Washed / Wet,Washed,4,12,2,Standard
7.83,7.75,7.5,7.58,7.67,7.67,7.67,Colombia,,Other,1,9,2,Standard
7.67,7.67,7.75,7.75,7.5,7.67,7.67,Taiwan,Washed / Wet,Washed,0,0,2,Standard
7.83,7.83,7.67,7.58,7.58,7.58,7.58,Myanmar,Natural / Dry,Natural,0,1,2,Standard
7.58,7.75,7.67,7.83,7.5,7.67,7.67,Taiwan,Pulped natural / honey,Honey,0,0,2,Standard
7.67,7.67,7.58,7.75,7.67,7.67,7.67,Honduras,Natural / Dry,Natural,0,1,2,Standard
7.58,7.67,7.5,7.75,7.75,7.67,7.67,Taiwan,Natural / Dry,Natural,0,0,2,Standard
7.58,7.75,7.58,7.75,7.58,7.67,7.67,Taiwan,Pulped natural / honey,Honey,0,0,2,Standard
7.58,7.83,7.58,7.67,7.58,7.58,7.75,Guatemala,Washed / Wet,Washed,0,4,2,Standard
7.75,7.67,7.58,7.58,7.58,7.67,7.67,Honduras,Washed / Wet,Washed,0,5,2,Standard
7.75,7.75,7.5,7.58,7.83,7.5,7.58,Colombia,Washed / Wet,Washed,0,2,2,Standard
7.42,7.83,7.58,7.67,7.67,7.75,7.58,Thailand,Washed / Wet,Washed,0,0,2,Standard
7.42,7.42,7.42,8.0,7.92,7.67,7.67,Ethiopia,Washed / Wet,Washed,0,11,2,Standard
7.67,7.67,7.5,7.67,7.58,7.67,7.67,Thailand,Washed / Wet,Washed,0,0,2,Standard
7.75,7.75,7.5,7.5,7.58,7.58,7.75,Uganda,Washed / Wet,Washed,0,3,2,Standard
7.75,7.92,7.67,7.92,7.75,7.83,7.92,Taiwan,Washed / Wet,Washed,0,0,0,Premium
7.75,7.67,7.58,7.5,7.67,7.5,7.67,Uganda,Washed / Wet,Washed,0,5,2,Standard
7.58,7.67,7.5,7.75,7.5,7.58,7.75,Taiwan,Pulped natural / honey,Honey,0,0,2,Standard
7.5,7.75,7.58,7.75,7.67,7.58,7.5,Guatemala,Washed / Wet,Washed,0,0,2,Standard
7.58,7.67,7.58,7.75,7.42,7.58,7.75,Taiwan,Washed / Wet,Washed,0,1,2,Standard
7.67,7.67,7.42,7.75,7.5,7.75,7.58,Colombia,Washed / Wet,Washed,0,0,2,Standard
7.58,7.75,7.42,7.67,7.5,7.75,7.67,Costa Rica,Washed / Wet,Washed,0,3,2,Standard
7.75,7.83,7.58,7.58,7.58,7.5,7.5,Taiwan,Washed / Wet,Washed,0,1,2,Standard
7.92,7.92,7.75,7.33,7.58,7.5,7.33,Thailand,Washed / Wet,Washed,0,16,2,Standard
7.92,7.67,7.42,7.5,7.67,7.58,7.5,"Tanzania, United Republic Of",Washed / Wet,Washed,0,8,2,Standard
7.58,7.5,7.5,7.83,7.67,7.5,7.67,Brazil,Natural / Dry,Natural,0,4,2,Standard
7.75,7.75,7.58,7.67,7.42,7.5,7.58,Taiwan,Washed / Wet,Washed,0,1,2,Standard
7.67,7.67,7.58,7.67,7.58,7.58,7.5,Colombia,Anaerobico 1000h,Other,0,2,2,Standard
7.67,7.75,7.67,7.58,7.5,7.58,7.5,Honduras,Washed / Wet,Washed,0,3,2,Standard
7.75,7.58,7.58,7.58,7.5,7.58,7.67,Honduras,Washed / Wet,Washed,0,5,2,Standard
7.75,7.75,7.5,7.75,7.5,7.42,7.5,Taiwan,Natural / Dry,Natural,0,2,2,Standard
7.67,7.67,7.5,7.58,7.58,7.5,7.67,Taiwan,Washed / Wet,Washed,0,0,2,Standard
7.67,7.75,7.33,7.67,7.58,7.5,7.58,Laos,Natural / Dry,Natural,0,7,2,Standard
7.67,7.67,7.5,7.58,7.58,7.5,7.58,Honduras,Washed / Wet,Washed,0,7,2,Standard
7.75,7.58,7.58,7.58,7.58,7.5,7.5,Honduras,Washed / Wet,Washed,0,2,2,Standard
8.0,7.67,7.42,7.58,7.58,7.42,7.33,Colombia,Washed / Wet,Washed,0,1,2,Standard
7.5,7.67,7.58,7.58,7.5,7.5,7.58,Taiwan,Pulped natural / honey,Honey,0,0,2,Standard
7.75,7.5,7.42,7.67,7.58,7.5,7.5,Mexico,Washed / Wet,Washed,2,1,2,Standard
7.58,7.5,7.5,7.67,7.58,7.5,7.58,Colombia,Washed / Wet,Washed,0,3,2,Standard
7.67,7.5,7.42,7.75,7.42,7.58,7.58,Taiwan,,Other,0,0,2,Standard
7.67,7.58,7.5,7.5,7.58,7.5,7.5,Honduras,Washed / Wet,Washed,0,4,2,Standard
7.17,7.92,7.58,7.5,7.58,7.67,7.42,Thailand,Washed / Wet,Washed,0,5,2,Standard
7.58,7.42,7.58,7.5,7.67,7.75,7.33,Vietnam,Pulped natural / honey,Honey,0,4,2,Standard
7.33,7.58,7.25,7.33,7.75,8.17,7.33,Nicaragua,Natural / Dry,Natural,5,1,2,Standard
7.33,7.5,7.25,7.92,7.75,7.58,7.42,Costa Rica,Pulped natural / honey,Honey,0,1,2,Standard
7.58,7.67,7.58,7.5,7.33,7.5,7.5,Colombia,Washed / Wet,Washed,0,2,2,Standard
7.33,7.58,7.58,7.5,7.67,7.67,7.33,Thailand,Washed / Wet,Washed,1,0,2,Standard
7.5,7.58,7.5,7.42,7.5,7.58,7.58,Thailand,Natural / Dry,Natural,0,0,2,Standard
7.67,7.58,7.33,7.5,7.58,7.5,7.5,Honduras,Washed / Wet,Washed,0,2,2,Standard
7.67,7.67,7.42,7.42,7.42,7.5,7.5,Taiwan,Natural / Dry,Natural,0,0,2,Standard
7.67,7.58,7.42,7.42,7.5,7.5,7.5,Taiwan,Washed / Wet,Washed,0,2,2,Standard
7.5,7.58,7.42,7.58,7.5,7.58,7.42,Nicaragua,Washed / Wet,Washed,0,0,2,Standard
7.67,7.33,7.17,7.67,7.83,7.5,7.33,El Salvador,Washed / Wet,Washed,0,2,2,Standard
7.75,7.67,7.17,7.67,7.42,7.42,7.42,Panama,Washed / Wet,Washed,0,0,2,Standard
7.5,7.58,7.5,7.5,7.67,7.42,7.33,Brazil,Natural / Dry,Natural,0,1,2,Standard
7.33,7.58,7.5,7.5,7.5,7.58,7.5,United States (Hawaii),Washed / Wet,Washed,0,1,2,Standard
7.67,7.42,7.5,7.5,7.67,7.42,7.33,Mexico,Washed / Wet,Washed,0,0,2,Standard
7.58,7.58,7.33,7.5,7.58,7.42,7.5,Honduras,Washed / Wet,Washed,0,8,2,Standard
7.42,7.42,7.58,7.42,7.58,7.5,7.58,Taiwan,Washed / Wet,Washed,0,2,2,Standard
7.58,7.58,7.42,7.42,7.5,7.5,7.42,Nicaragua,Washed / Wet,Washed,0,0,2,Standard
7.5,7.5,7.33,7.5,7.5,7.42,7.58,Vietnam,Washed / Wet,Washed,0,0,1,Below Average
7.5,7.5,7.42,7.42,7.42,7.67,7.42,El Salvador,Washed / Wet,Washed,0,10,2,Standard
7.33,7.67,7.25,7.67,7.83,7.42,7.17,El Salvador,Washed / Wet,Washed,0,0,2,Standard
7.67,7.58,7.42,7.5,7.33,7.42,7.42,Taiwan,Natural / Dry,Natural,0,1,1,Below Average
7.67,7.5,7.33,7.58,7.33,7.42,7.42,Peru,Washed / Wet,Washed,0,3,1,Below Average
7.75,7.42,7.33,7.5,7.33,7.5,7.33,United States (Hawaii),Washed / Wet,Washed,1,5,1,Below Average
7.5,7.5,7.42,7.5,7.25,7.5,7.5,Kenya,Washed / Wet,Washed,0,2,1,Below Average
7.67,7.5,7.25,7.5,7.5,7.33,7.42,Honduras,Washed / Wet,Washed,0,8,1,Below Average
7.5,7.67,7.33,7.5,7.25,7.33,7.5,Taiwan,Washed / Wet,Washed,0,0,1,Below Average
7.33,7.42,7.42,7.5,7.42,7.5,7.5,Taiwan,Pulped natural / honey,Honey,0,3,1,Below Average
7.5,7.58,7.42,7.42,7.25,7.42,7.42,Taiwan,Washed / Wet,Washed,0,1,1,Below Average
7.17,7.5,7.42,7.42,7.58,7.5,7.42,Thailand,Washed / Wet,Washed,0,0,1,Below Average
7.42,7.42,7.42,7.33,7.58,7.33,7.5,Costa Rica,Washed / Wet,Washed,1,8,1,Below Average
7.42,7.42,7.42,7.33,7.5,7.42,7.5,Guatemala,Washed / Wet,Washed,0,2,1,Below Average
7.67,7.33,7.25,7.67,7.42,7.25,7.42,Indonesia,Pulped natural / honey,Honey,0,0,1,Below Average
7.5,7.5,7.33,7.5,7.33,7.33,7.42,Peru,Washed / Wet,Washed,0,2,1,Below Average
7.33,7.42,7.33,7.42,7.58,7.42,7.42,Guatemala,Washed / Wet,Washed,0,1,1,Below Average
7.25,7.42,7.42,7.5,7.42,7.42,7.42,Taiwan,Pulped natural / honey,Honey,0,0,1,Below Average
7.5,7.5,7.25,7.42,7.42,7.42,7.33,Vietnam,Pulped natural / honey,Honey,0,4,1,Below Average
7.5,7.5,7.42,7.33,7.33,7.33,7.42,Brazil,Pulped natural / honey,Honey,0,2,1,Below Average
7.42,7.5,7.58,7.33,7.33,7.25,7.33,Brazil,Natural / Dry,Natural,0,0,1,Below Average
7.33,7.5,7.33,7.42,7.42,7.42,7.33,Colombia,Washed / Wet,Washed,0,0,1,Below Average
7.58,7.42,7.25,7.25,7.5,7.33,7.33,Mexico,Washed / Wet,Washed,2,2,1,Below Average
7.33,7.42,7.25,7.42,7.42,7.33,7.42,Costa Rica,Washed / Wet,Washed,0,4,1,Below Average
7.42,7.5,7.33,7.33,7.33,7.33,7.33,Taiwan,Pulped natural / honey,Honey,0,0,1,Below Average
7.33,7.5,7.42,7.33,7.33,7.25,7.33,Taiwan,Pulped natural / honey,Honey,0,0,1,Below Average
7.33,7.42,7.25,7.33,7.5,7.42,7.17,Thailand,Washed / Wet,Washed,2,1,1,Below Average
7.42,7.25,7.33,7.42,7.33,7.33,7.25,Thailand,Natural / Dry,Natural,0,5,1,Below Average
7.25,7.25,7.42,7.25,7.42,7.42,7.17,Thailand,Washed / Wet,Washed,0,0,1,Below Average
